NIF;NOMBRE FONDO;NUMERO REGISTRO CNMV;GESTORA;DEPOSITARIO;AUDITOR
V05454731;  MYINVESTOR NASDAQ , FI ;5540; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V06821995;  BESTINVER BONOS INSTITUCIONAL II, FI ;5537; 1) BESTINVER GESTION, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;KPMGAUDITORES S.L.
V06861561;  FONDO SELECCIÓN, FI ;5548; 1) INVERSIS GESTIÓN, S.A., SGIIC        ;BANCO INVERSIS, S.A.        ;DELOITTE, S.L.
V06862387;  BBVA DEUDA PRIVADA , IICIICIL ;50; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V06866859;  ABANCA RENTA FIJA TRANSICIÓN CLIMÁTICA , FI ;5545; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V06899728;  GESIURIS HEALTHCARE & INNOVATION FI ;5546; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V06929160;  ARCANO CAPITAL SOLUTIONS II, FIL ;95; 1) ARCANO CAPITAL, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE S.L.
V06983548;  ABACO RENTA FIJA, FI ;5550; 1) ABACO CAPITAL, SGIIC, S.A.        ;SINGULAR BANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES SL.
V08694416;  CAIXABANK RENTA FIJA DOLAR, FI ;21; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V08976888;  MEDIOLANUM FONDCUENTA, FI ;3713; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V09610171;  CAIXABANK DESTINO , FI ;5583; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V09610213;  CAIXABANK DESTINO , FI ;5582; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V09653031;  GVC GAESCO GLOBAL EQUITY DS FI ;5592; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V09661638;  ALTERNA RENTA FIJA GLOBAL, FI ;5609; 1) ALTERNA INVERSIONES Y VALORES, S.G.I.I.C., S.A.        ;BANCO INVERSIS, S.A.;Ernst & Young, S.L.
V09703869;  ACTYUS FINTECH I, FIL ;97; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V09720889;  FONDO NARANJA RENTABILIDAD  I, FI ;5600; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V09754896;  RAHCO PRIVATE EQUITY, FIL ;101; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V09764010;  CINVEST II, FI ;5601; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V09773268;  CAIXABANK DEUDA PUBLICA ESPAÑA ITALIA , FI ;5596; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V09799180;  DLTV EUROPE, FI ;5597; 1) DUX INVERSORES, SGIIC, S.A.        ;BANKINTER, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V09823121;  GC HIGH CONVICTION FI ;5602; 1) WELCOME ASSET MANAGEMENT, SGIIC, S.A.        ;BANCO INVERSIS, S.A.        ;DELOITTE, S.L.
V09855834;  BBVA PATRIMONIO CORTO PLAZO, FI ;5605; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V09874843;  QUANTOP, FI ;5623; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V09932161;  CAIXABANK DEUDA PUBLICA ESPAÑA ITALIA  , FI ;5610; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V10557072;  ESTRATEGIA ACUMULACIÓN ISR, FI ;5636; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST&YOUNG, S.L.
V10557361;  ESTRATEGIA CAPITAL ISR, FI ;5635; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST&YOUNG, S.L.
V10557494;  ESTRATEGIA CRECIMIENTO ISR, FI ;5637; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST&YOUNG, S.L.
V10569754;  BEST IDEAS, FI ;5643; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;DELOITTE, S.L
V10588440;  BBVA EQUILIBRIO SOSTENIBLE ISR, FI ;5630; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V10608495;  CAIXABANK DEUDA PUBLICA ESPAÑA ITALIA , FI ;5621; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V10625341;  IBERCAJA RF HORIZONTE , FI ;5625; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V10625424;  IBERCAJA ESPAÑA-ITALIA , FI ;5624; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V10657559;  BBVA BONOS , FI ;5631; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V10674927;  FONDO NARANJA RENTABILIDAD  II, FI ;5632; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V10706745;  MARCH RENTA FIJA FLEXIBLE FI ;5638; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;Deloitte, S.L.
V10749059;  PATRIMONIO GLOBAL SOLUTIONS FIL ;99; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V10755643;  CI CIMS , FI ;5641; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE  S.L.
V10796332;  CAIXABANK DEUDA PÚBLICA ESPAÑA ITALIA  , FI ;5633; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V10800993;  BBVA BONOS ,FI ;5634; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V10826485;  MARCH RENTA FIJA  GARANTIZADO, FI ;5649; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;DELOITTE, S.L.
V10856193;  CAIXABANK SMART RENTA FIJA INTERNACIONAL, FI ;5645; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V10893915;  ALTERALIA DEBT FUND III, FIL ;102; 1) ALANTRA WEALTH MANAGEMENT GESTION, SGIIC, S.A.        ;BANKINTER, S.A.;PWC Auditores, SL
V10920056;  GVC GAESCO CROSSOVER, FI ;5669; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V10920122;  FINACCESS COMPROMISO SOCIAL EUROPA RV, FI ;5714; 1) AFI INVERSIONES GLOBALES, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;KPMG AUDITORES, S.L
V10987758;  ACROPOLIS USA EQUITY, FI ;5670; 1) WELZIA MANAGEMENT, SGIIC, S.A.        ;SINGULAR BANK, S.A.        ;KPMGAUDITORES, S.L.
V13652987;  FONDO NARANJA RENTABILIDAD  VI, FI ;5780; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V13707849;  GESTIFONSA RENTA FIJA CORPORATIVA , FI ;5777; 1) GESTIFONSA, S.G.I.I.C., S.A.        ;BANCO INVERSIS, S.A.        ;EUDITA AHAUDITORES 1986, SAP
V13727789;  CI CIMS  E, FI ;5766; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;Deloitte SL
V16734089;  GCO BOLSA USA, FI ;5572; 1) GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC        ;BANCO BILBAOVIZCAYA ARGENTARIA, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V16923583;  MYINVESTOR VALUE, FI ;5558; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V16923633;  AVANTAGE PURE EQUITY, FI ;5559; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V16944779;  IBERCAJA  DEUDA CORPORATIVA , FI ;5556; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V20330197;  SABADELL EURO YIELD, FI ;194; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V20476008;  LABORAL KUTXA CRECIMIENTO,FI ;508; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V20476016;  LABORAL KUTXA AHORRO,FI ;3581; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V20476024;  CAJA LABORAL PATRIMONIO, FI ;509; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V20476032;  LABORAL KUTXA BOLSA,FI ;511; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V20512356;  ABANCA AHORRO, FI ;558; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V20594156;  BANKOA BOLSA, FI ;996; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V20618468;  BANKOA SELECCIÓN ESTRATEGIA , FI ;1347; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V20664504;  LABORAL KUTXA AKTIBO HEGO,FI ;1865; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V20674750;  KUTXABANK RENTA FIJA EMPRESAS, FI ;1948; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V20691853;  LABORAL KUTXA BOLSAS EUROPEAS, FI ;2093; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V20691879;  LABORAL KUTXA BOLSA UNIVERSAL,FI ;2092; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V20691887;  LABORAL KUTXA MERCADOS EMERGENTES,FI ;2094; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V20699732;  KUTXABANK RENTA FIJA LARGO PLAZO, FI ;2135; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V20729570;  LABORAL KUTXA BOLSA USA, FI ;2469; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V20729596;  LABORAL KUTXA BOLSA JAPON, FI ;2470; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V20733291;  LABORAL KUTXA AVANT,FI ;2403; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V28703429;  FONDONORTE, FI ;85; 1) GESNORTE, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V28706448;  IMANTIA FUTURO HEALTHY, FI ;30; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V40518029;  NAO EUROPA RESPONSABLE, F.I. ;5313; 1) NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;DELOITTE, S.L.
V42739714;  IBERCAJA RENTA FIJA SOSTENIBLE, FI ;5502; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V42776989;  BINDEX IXESG GLOBAL LEADERS INDICE, FI ;5510; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L.
V42842682;  IBERCAJA RENTA FIJA EMPRESAS, FI ;5507; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V42842732;  IBERCAJA DIVERSIFICACIÓN EMPRESAS, FI ;5508; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V42853846;  BBVA COBERTURA ACTIVA EQUILIBRADO, FI ;5512; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernest & Young, S.L
V42853879;  BBVA COBERTURA ACTIVA PRUDENTE, FI ;5511; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernest & Young, S. L.
V42853895;  BBVA COBERTURA ACTIVA DINAMICO, FI ;5513; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG, S.L
V42892141;  BANKINTER ETHOS, FI ;5514; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V42897991;  MUTUAFONDO MIXTO INTERNACIONAL, FI ;5516; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V42975383;  BANKINTER HORIZONTE , FI ;5518; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V44542363;  BBVA BONOS  II, FI ;5722; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V44546729;  FONDO NARANJA RENTABILIDAD  IV, FI ;5726; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44555910;  CI CIMS , FI ;5733; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE S.L.
V44561132;  ATTITUDE SMALL CAPS, FI ;5731; 1) ATTITUDE GESTION, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;KPMGAUDITORES S.L
